race,2022_01,2022_02,2022_03,2022_04,2022_05,2022_06,2022_07,2022_08,2022_09,2022_10,2022_11,2022_12,2022_13,2022_14,2022_15,2022_16,2022_17,2022_18,2022_19,2022_20,2022_21,2022_22
track,BHR,SAU,AUS,ITA,USA,ESP,MCO,AZE,CAN,GBR,AUT,FRA,HUN,BEL,NLD,ITA,SGP,JPN,USA,MES,BRA,ARE
ALB,2,2,-3,7,13,0,-19,6,1,-20,0,0,2,3,3,11,-20,-20,-1,8,-14,12
ALO,13,-14,-3,-18,0,18,10,14,4,17,3,13,7,21,17,-18,-14,14,21,-8,30,-16
BOT,19,-15,11,22,10,15,5,4,11,-19,12,-2,-9,-20,-18,6,4,-3,-18,3,19,6
GAS,-16,9,6,8,-16,2,9,17,2,-20,-2,4,13,6,0,4,2,3,4,5,5,8
HAM,26,13,20,2,16,33,7,33,25,38,30,27,40,-16,20,42,4,17,27,27,51,-4
LAT,5,-20,2,2,5,5,5,3,3,-1,-18,-18,2,-5,3,-1,-20,13,3,1,-1,1
LEC,58,48,55,25,27,-10,19,-10,45,21,51,-10,14,35,24,27,27,25,40,14,32,27
MAG,19,7,9,6,11,-5,-20,-15,-5,9,15,-15,0,-3,6,0,0,5,9,2,-16,0
MSC,5,0,5,-3,7,-2,-19,6,-15,20,31,2,2,4,0,11,-1,-2,4,-1,12,1
NOR,2,13,17,28,-15,10,23,7,1,13,21,10,13,8,10,8,19,3,19,6,-11,26
OCO,16,15,10,5,12,14,-1,4,13,-17,23,8,4,28,5,4,-20,20,16,11,13,15
PER,-5,19,31,41,20,38,45,37,-20,44,-5,19,21,27,17,38,45,29,28,24,17,28
RIC,7,-18,14,-3,4,0,1,8,2,1,9,2,-1,-7,1,-17,21,0,1,24,-14,14
RUS,20,17,23,22,21,24,17,23,21,-17,34,25,26,18,30,19,21,10,28,29,60,21
SAI,28,23,-18,-4,24,25,27,-13,39,37,-5,64,20,24,10,47,23,-12,-10,18,44,23
STR,13,0,7,7,7,6,6,3,10,10,5,6,10,3,2,-19,13,9,-15,7,11,16
TSU,20,-25,-2,19,2,8,-5,-1,-20,-1,1,-17,0,13,-18,11,-19,3,18,-20,10,3
VER,-5,37,-11,64,56,36,23,36,37,12,47,36,52,75,57,42,20,36,37,35,28,35
VET,0,7,-20,8,4,7,5,14,5,12,6,2,17,9,6,-20,9,25,22,2,8,18
ZHO,17,4,7,-13,-20,-17,4,-18,10,-18,12,0,4,9,-2,0,-20,9,12,0,10,11
